Entity,Code,Year,TasaMigracion,TasaNoMigracion
Upper-middle-income countries,,2010,0.778,0.7763
Upper-middle-income countries,,2015,0.759,0.7419
Upper-middle-income countries,,2020,0.5760000000000001,0.6031000000000001
High income countries,,1950,1.147,1.1677
High income countries,,1955,1.271,1.2105000000000001
High income countries,,1960,1.26,1.1735
High income countries,,1965,1.123,1.0264000000000002
High income countries,,1970,0.9940000000000001,0.8586
High income countries,,1975,0.8959999999999999,0.7316
High income countries,,1980,0.789,0.6472000000000001
High income countries,,1985,0.747,0.5944
High income countries,,1990,0.7240000000000001,0.5375
High income countries,,1995,0.682,0.45740000000000003
High income countries,,2000,0.6659999999999999,0.38
High income countries,,2005,0.754,0.3744
High income countries,,2010,0.708,0.34980000000000006
High income countries,,2015,0.535,0.25630000000000003
High income countries,,2020,0.381,0.1653
